year,est,lwr,upr,log_est,se,type,prey_group,scenario
2017,0.005074325917139798,0.004662067133247509,0.005523040054427645,-5.283561587085109,0.04323281037790944,index,Other,s1_1
2018,0.004888013711114282,0.004473122888331431,0.0053413864623231225,-5.320969252060664,0.045255540504596445,index,Other,s1_1
2019,0.004838177591802714,0.004390590701959174,0.005331392516131551,-5.3312171597783236,0.04952863709710357,index,Other,s1_1
2020,0.004692743727901488,0.004203743886578769,0.005238626398260745,-5.36173785096933,0.05614485729714403,index,Other,s1_1
2021,0.004591180808789601,0.004078528365702516,0.005168271329496354,-5.383618031177638,0.06040979327635098,index,Other,s1_1
2022,0.004475645013186293,0.003914606251376944,0.005117091476828196,-5.409104800617191,0.06833581096261003,index,Other,s1_1
2023,0.004427595928911794,0.0038070416138462496,0.005149301662061633,-5.419898521932902,0.077044450828369,index,Other,s1_1
1995,0.003746635402447779,0.0023377972336047787,0.006004488600249636,-5.586897067761925,0.24064170672645085,index,Sprat,s1_1
1996,0.004393981791871686,0.002781405275476366,0.0069414824792094435,-5.427519448890005,0.23331017250333275,index,Sprat,s1_1
1997,0.004131625928824085,0.0026046273493202372,0.006553848411438415,-5.489084262117127,0.2354030010838387,index,Sprat,s1_1
1998,0.003397782887978372,0.0021780157400883033,0.005300663508230928,-5.684632151835401,0.2268964528510495,index,Sprat,s1_1
1999,0.002570888693832914,0.001647795429729684,0.004011097832187926,-5.963503644582687,0.2269497534502936,index,Sprat,s1_1
2000,0.0020226521437784264,0.001283755990687065,0.0031868374709915852,-6.203345686259731,0.23195295806755395,index,Sprat,s1_1
2001,0.0018306370780266752,0.0011441642997913183,0.0029289780428014287,-6.3030912426427985,0.2397949853683143,index,Sprat,s1_1
2002,0.0016731097784820508,0.0010122907212192457,0.002765308692626034,-6.393071241388388,0.25636605469032836,index,Sprat,s1_1
2003,0.0016825093510187791,0.0010137319558826644,0.0027924913482684885,-6.387468938648783,0.25849853232843556,index,Sprat,s1_1
2004,0.0017492545068714684,0.001109767619701549,0.0027572360875270847,-6.348565577882265,0.23216705148781047,index,Sprat,s1_1
2005,0.0019531329596012485,0.0013513959023028642,0.002822805923401272,-6.238320549731973,0.18790991682021885,index,Sprat,s1_1
2006,0.0025978985102432972,0.0019301942948616864,0.0034965789130611677,-5.953052426068249,0.1515753281665509,index,Sprat,s1_1
2007,0.003410076906179965,0.0026552440120625534,0.0043794937313610515,-5.681020434809075,0.12765453297149787,index,Sprat,s1_1
2008,0.004340463767662321,0.003465069098330118,0.005437012995633641,-5.439774077670461,0.11492488068523853,index,Sprat,s1_1
2009,0.004924854141301652,0.0039189817700580895,0.006188900519620564,-5.313460620776007,0.11656479021225855,index,Sprat,s1_1
2010,0.004693554170578921,0.0037143883288979474,0.0059308421202946444,-5.361565164636931,0.11937775418081316,index,Sprat,s1_1
2011,0.003787213812042992,0.0029843640806355497,0.004806045130751852,-5.576124672178307,0.12155525450846857,index,Sprat,s1_1
